,,,R,tau,rho,time
2,1,0,0.06310959697865222,77,0.37959570262849107,20.469999999999914
2,1,1,0.06449062453751618,77,0.37959570262849107,20.469999999999914
2,1,2,0.06582320580755627,77,0.37959570262849107,20.469999999999914
2,1,3,0.06717767792684876,77,0.37959570262849107,20.469999999999914
2,1,4,0.06836089494144626,77,0.37959570262849107,20.469999999999914
2,1,5,0.06924296065464211,77,0.37959570262849107,20.469999999999914
2,1,6,0.0700350868954718,77,0.37959570262849107,20.469999999999914
2,1,7,0.07076893715796137,77,0.37959570262849107,20.469999999999914
2,1,8,0.0716818951996171,77,0.37959570262849107,20.469999999999914
2,1,9,0.07215159825980148,77,0.37959570262849107,20.469999999999914
2,1,10,0.07242970493763067,77,0.37959570262849107,20.469999999999914
2,1,11,0.0724410978337236,77,0.37959570262849107,20.469999999999914
2,1,12,0.07210497061397428,77,0.37959570262849107,20.469999999999914
2,1,13,0.07133960109166675,77,0.37959570262849107,20.469999999999914
2,1,14,0.07036061335928964,77,0.37959570262849107,20.469999999999914
2,1,15,0.06900194860359213,77,0.37959570262849107,20.469999999999914
2,1,16,0.06728127252794196,77,0.37959570262849107,20.469999999999914
2,1,17,0.06540411572587626,77,0.37959570262849107,20.469999999999914
2,1,18,0.06351226033067509,77,0.37959570262849107,20.469999999999914
2,1,19,0.06168522654876779,77,0.37959570262849107,20.469999999999914
2,1,20,0.06017576586973798,77,0.37959570262849107,20.469999999999914
2,1,21,0.059153955821308044,77,0.37959570262849107,20.469999999999914
2,1,22,0.059041157870129375,77,0.37959570262849107,20.469999999999914
2,1,23,0.059367382422283226,77,0.37959570262849107,20.469999999999914
2,1,24,0.05915545319543967,77,0.37959570262849107,20.469999999999914
2,1,25,0.05984644104799004,77,0.37959570262849107,20.469999999999914
2,1,26,0.06056333919458965,77,0.37959570262849107,20.469999999999914
2,1,27,0.06140771300669304,77,0.37959570262849107,20.469999999999914
2,1,28,0.06228739357621515,77,0.37959570262849107,20.469999999999914
2,1,29,0.0639948392035661,77,0.37959570262849107,20.469999999999914
2,1,30,0.06626681373032321,77,0.37959570262849107,20.469999999999914
2,1,31,0.06879920441159415,77,0.37959570262849107,20.469999999999914
2,1,32,0.07132245275076725,77,0.37959570262849107,20.469999999999914
2,1,33,0.07324872648626153,77,0.37959570262849107,20.469999999999914
2,1,34,0.07491149191167985,77,0.37959570262849107,20.469999999999914
2,1,35,0.07793522298700498,77,0.37959570262849107,20.469999999999914
2,1,36,0.08100662554427927,77,0.37959570262849107,20.469999999999914
2,1,37,0.08368184231270719,77,0.37959570262849107,20.469999999999914
2,1,38,0.08758185956415852,77,0.37959570262849107,20.469999999999914
2,1,39,0.09119315101877463,77,0.37959570262849107,20.469999999999914
2,1,40,0.09620425764332056,77,0.37959570262849107,20.469999999999914
2,1,41,0.09963305025119365,77,0.37959570262849107,20.469999999999914
2,1,42,0.10495580092861795,77,0.37959570262849107,20.469999999999914
2,1,43,0.11009941617376942,77,0.37959570262849107,20.469999999999914
2,1,44,0.11435333392318654,77,0.37959570262849107,20.469999999999914
2,1,45,0.1191693954304039,77,0.37959570262849107,20.469999999999914
2,1,46,0.12431547814723548,77,0.37959570262849107,20.469999999999914
2,1,47,0.13037950196098175,77,0.37959570262849107,20.469999999999914
