,,,R,tau,rho,time
42,1,0,-0.27027826702044816,103,0.42878280182450373,10.949999999999989
42,1,1,-0.2664230130036681,103,0.42878280182450373,10.949999999999989
42,1,2,-0.26266646175406344,103,0.42878280182450373,10.949999999999989
42,1,3,-0.2589658437257773,103,0.42878280182450373,10.949999999999989
42,1,4,-0.2553940241768498,103,0.42878280182450373,10.949999999999989
42,1,5,-0.25191500897005714,103,0.42878280182450373,10.949999999999989
42,1,6,-0.24851530647666661,103,0.42878280182450373,10.949999999999989
42,1,7,-0.24517618801462954,103,0.42878280182450373,10.949999999999989
42,1,8,-0.2418593583830906,103,0.42878280182450373,10.949999999999989
42,1,9,-0.23847211464317344,103,0.42878280182450373,10.949999999999989
42,1,10,-0.2352683656466399,103,0.42878280182450373,10.949999999999989
42,1,11,-0.2318732076588826,103,0.42878280182450373,10.949999999999989
42,1,12,-0.2285506448324354,103,0.42878280182450373,10.949999999999989
42,1,13,-0.22536331901240692,103,0.42878280182450373,10.949999999999989
42,1,14,-0.22230277220414676,103,0.42878280182450373,10.949999999999989
42,1,15,-0.21922195743949677,103,0.42878280182450373,10.949999999999989
42,1,16,-0.2162889339622982,103,0.42878280182450373,10.949999999999989
42,1,17,-0.21347829653974176,103,0.42878280182450373,10.949999999999989
42,1,18,-0.21060759585515088,103,0.42878280182450373,10.949999999999989
42,1,19,-0.20764229925306898,103,0.42878280182450373,10.949999999999989
42,1,20,-0.20459976121690654,103,0.42878280182450373,10.949999999999989
42,1,21,-0.20142329610669973,103,0.42878280182450373,10.949999999999989
42,1,22,-0.1980321426844946,103,0.42878280182450373,10.949999999999989
42,1,23,-0.19434252267304017,103,0.42878280182450373,10.949999999999989
42,1,24,-0.1903175894892012,103,0.42878280182450373,10.949999999999989
42,1,25,-0.18597643863004112,103,0.42878280182450373,10.949999999999989
42,1,26,-0.1811726090340525,103,0.42878280182450373,10.949999999999989
42,1,27,-0.17594414430707808,103,0.42878280182450373,10.949999999999989
42,1,28,-0.17045936829782415,103,0.42878280182450373,10.949999999999989
42,1,29,-0.16467203592920607,103,0.42878280182450373,10.949999999999989
42,1,30,-0.15858475411433778,103,0.42878280182450373,10.949999999999989
42,1,31,-0.15240383752270684,103,0.42878280182450373,10.949999999999989
42,1,32,-0.14619808004420692,103,0.42878280182450373,10.949999999999989
42,1,33,-0.1398623028634004,103,0.42878280182450373,10.949999999999989
42,1,34,-0.1334318765812752,103,0.42878280182450373,10.949999999999989
42,1,35,-0.12687112783200438,103,0.42878280182450373,10.949999999999989
42,1,36,-0.12022687388054557,103,0.42878280182450373,10.949999999999989
42,1,37,-0.11338203927564859,103,0.42878280182450373,10.949999999999989
42,1,38,-0.10629670091865016,103,0.42878280182450373,10.949999999999989
42,1,39,-0.09897849945499904,103,0.42878280182450373,10.949999999999989
42,1,40,-0.09144524321691914,103,0.42878280182450373,10.949999999999989
42,1,41,-0.08368248898844102,103,0.42878280182450373,10.949999999999989
42,1,42,-0.07569900874920933,103,0.42878280182450373,10.949999999999989
42,1,43,-0.06750740840625007,103,0.42878280182450373,10.949999999999989
42,1,44,-0.05903138053798753,103,0.42878280182450373,10.949999999999989
42,1,45,-0.05030068093566236,103,0.42878280182450373,10.949999999999989
42,1,46,-0.041313724067666896,103,0.42878280182450373,10.949999999999989
42,1,47,-0.03205203214899112,103,0.42878280182450373,10.949999999999989
42,1,48,-0.02257691935180382,103,0.42878280182450373,10.949999999999989
42,1,49,-0.012929929866165596,103,0.42878280182450373,10.949999999999989
42,1,50,-0.003034656785959213,103,0.42878280182450373,10.949999999999989
42,1,51,0.007147865754550093,103,0.42878280182450373,10.949999999999989
42,1,52,0.017528122210112622,103,0.42878280182450373,10.949999999999989
42,1,53,0.02814857326048929,103,0.42878280182450373,10.949999999999989
42,1,54,0.03898257413207512,103,0.42878280182450373,10.949999999999989
42,1,55,0.05007658739538935,103,0.42878280182450373,10.949999999999989
42,1,56,0.061349691320225705,103,0.42878280182450373,10.949999999999989
42,1,57,0.07281554347879804,103,0.42878280182450373,10.949999999999989
42,1,58,0.08440401196481867,103,0.42878280182450373,10.949999999999989
42,1,59,0.09611997919452572,103,0.42878280182450373,10.949999999999989
42,1,60,0.10789908290508345,103,0.42878280182450373,10.949999999999989
42,1,61,0.11968561299357529,103,0.42878280182450373,10.949999999999989
42,1,62,0.13146078787538448,103,0.42878280182450373,10.949999999999989
